"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R9";"R_Axial_DIN0614_L14.3mm_D5.7mm_P15.24mm_Horizontal";1;"10R 2W";;;
2;"R8";"R_Axial_DIN0614_L14.3mm_D5.7mm_P15.24mm_Horizontal";1;"2R7 2W";;;
3;"C1";"C_Disc_D3.8mm_W2.6mm_P2.50mm_centered";1;"220p";;;
4;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_centered";1;"20K";;;
5;"R6,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_centered";2;"10K";;;
6;"R5,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_centered";2;"10K 0.1%";;;
7;"R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_centered";2;"1K 0.1%";;;
8;"C11";"C_Disc_D3.8mm_W2.6mm_P2.50mm_centered";1;"100n";;;
9;"C9,C8";"C_Disc_D3.8mm_W2.6mm_P2.50mm_centered";2;"1u";;;
10;"C5,C4";"C_Disc_D3.8mm_W2.6mm_P2.50mm_centered";2;"33p";;;
11;"J8,J5";"Terminal_.25_PCB_TAB_TE_Connectivity_P5.08mm_";2;"GND";;;
12;"J7";"Terminal_.25_PCB_TAB_TE_Connectivity_P5.08mm_";1;"SPK+";;;
13;"J6";"Terminal_.25_PCB_TAB_TE_Connectivity_P5.08mm_";1;"Vcc";;;
14;"J4";"Terminal_.25_PCB_TAB_TE_Connectivity_P5.08mm_";1;"Vee";;;
15;"L1";"Inductor_DIY_flipped";1;"1uH";;;
16;"J3";"TerminalBlock_CUI_01x03_P5.00mm";1;"POWER";;;
17;"J2";"TerminalBlock_CUI_01x02_P5.00mm";1;"SPEAKER";;;
18;"J1";"TerminalBlock_ Amphenol_01_03_P3.50mm";1;"INPUT";;;
19;"H4,H3,H2,H1";"MountingHole_3.5mm_Pad_Via";4;"MountingHole";;;
20;"C13,C12";"C_Radial_D10.0mm_H12.5mm_P5.00mm";2;"100u NP";;;
21;"C10";"CP_Radial_D8.0mm_P3.50mm";1;"100u";;;
22;"C7,C6";"CP_Radial_D6.3mm_P2.50mm";2;"10u";;;
23;"C3,C2";"CP_Radial_D16.0mm_P7.50mm";2;"1000u";;;
24;"U1";"TO-220-11_P3.4x5.08mm_StaggerOdd_Lead4.85mm_Vertical";1;"LM3886";;;
